point3D_id,track_length,error,x,y,z
8293,2,0.6063713160484802,-0.06719648933961782,-0.5559476997751219,4.354830005650688
8292,7,1.7271812113889846,-0.15137065423239154,-0.6806095721284904,4.529907846167113
8291,7,1.1691318663358208,0.147697537392748,-1.814167201674584,5.601590604326496
8290,6,0.6357837673926592,0.29495124640472187,-1.5531620976858964,5.196612346124857
8289,6,0.968983743858446,-0.23042545515639087,-1.0401559553702637,4.841722098404538
8288,6,1.5358095203044158,0.22066774082386748,-0.5526860760173301,4.418029034171152
8287,5,0.49542837959530567,0.15889502485801546,-0.48475242158191345,4.388696432669287
8286,5,0.7581274110902859,1.0636082909158169,-0.057280775779779816,3.567084154516925
8285,6,0.35471538078741616,0.0033051654411539472,-1.2469709729151721,5.213125089797737
8284,5,0.9593355445707962,-1.1377270099740362,-0.8190162599005079,4.938296495565222
8283,5,1.1191088173111177,-0.03640858365273594,-0.49344818110541694,4.441926811095714
8282,6,2.223332868869476,-0.5921536837524147,-0.615610486395136,4.5738470936236615
8281,6,1.2385146096016595,0.09422565194012018,-0.4058768671567426,4.281359532470087
8280,5,1.2802945453068748,1.2486728607205209,0.023318744569863867,3.437991191275687
8279,8,1.8878923639212883,-0.017980312182378746,-0.6559799087390433,4.462612048957395
8278,5,0.23844813070277926,-0.17568271945063282,-0.18288066314573428,4.1968688508348615
8277,6,2.243747058241351,-0.995900552225238,-0.0922986884217901,4.847086167661488
8276,6,0.3780511370630901,0.5371502521858519,-1.3395798807470567,5.087511943835482
8275,6,0.8551449886812333,0.31678632882017566,-1.79101248579301,5.42723115906218
8274,5,0.2265407807761334,0.2164916713332856,-1.0825626589685842,4.900470058487057
8273,6,0.26266868493000683,-0.5901756418057803,-0.04221102193585301,4.198931899894582
8272,5,0.3534815024188497,0.39958516834319996,-1.6524451733998917,5.246877153740667
8270,3,1.191528353110092,-0.6521472331604643,-1.228087408484434,5.480454423597034
8269,3,1.191528353110092,-0.6521472331604643,-1.228087408484434,5.480454423597034
8267,3,1.7067444784758365,-1.1036454925122434,-1.0204283556978184,5.133728628867897
8266,3,0.35899862871030375,-0.7849132695328704,-0.7181628522090657,4.603645982095829
8265,3,2.290556787768507,-1.2112114159668559,-0.9763006935625306,5.177720282792627
8264,2,1.0884916165803755,-0.27524170228644607,0.17899136330621299,3.927436070095385
8263,3,1.6283158749380293,-0.5414948328402077,0.049867288869882544,4.021629634231969
8260,3,1.49871826704167,-0.9351006755586782,-1.2303118381314155,5.790388896756446
8259,3,1.2652978289652606,-0.05199609679829349,-1.8660524684746913,6.524298461689137
8258,3,1.7222592754874768,-0.27430664865277815,-0.22325092837252483,4.2711369819981515
8257,3,0.5791580436708783,0.586560398720108,-0.986591133144622,4.638921431518247
8256,3,2.7844959205831095,0.8609380233760368,-1.533598380946103,5.18106737889326
8255,3,0.37404800145282247,0.05849721932906836,-0.5734943562989006,4.44555019315192
8254,3,0.2653926906236344,0.07298354379946093,-1.1419984435960264,5.0334094812040195
8253,3,0.8574517552521147,-0.44145253913503335,-0.1131135779645722,4.145101853219667
8252,2,0.2582273032922172,-0.8283552942436165,-0.7902013720680356,4.686444747546031
8251,3,0.34299441225441435,-0.7270055417042582,-1.11979037759133,5.126244638249216
8250,3,0.5264957668621616,-0.7206537150800099,-1.1394947700752955,5.166097240248452
8249,3,0.5761681751559505,0.07951716251400069,-0.9966156680873486,4.639912029937754
8248,4,1.2468302900810684,-0.5529375295572263,-0.5025891472726707,4.533838753275567
8247,3,0.6751333926851747,-1.336379794420389,-0.8622688862159069,5.1256843020557765
